mall_name,latitude,longitude
100 AM,1.274588217954257,103.84347073661
313@Somerset,1.301014364040584,103.8383606644851
321 Clementi,1.312002120308228,103.7649866763643
600 @ Toa Payoh,1.334036238944651,103.8509777064745
888 Plaza,1.437704749703643,103.795268998896
AMK Hub,1.369389226903445,103.8484779659393
Admiralty Place,1.439983666087329,103.8012931042679
Alexandra Retail Centre,1.27414893629255,103.8013994166651
Anchorpoint,1.288614690305858,103.8050099645917
Beauty World Centre,1.342412641886426,103.7765393854061
Beauty World Plaza,1.34180018619223,103.7762593598538
Bedok Mall,1.324736327847299,103.929256259998
Bukit Panjang Plaza,1.379920451762434,103.764357180314
Bukit Timah Plaza,1.338759307290653,103.7786000778338
Buangkok Square,1.38436230872291,103.8816221196143
Bugis+,1.299603689902971,103.8542423474883
Bugis Junction,1.299112874758746,103.8554111737572
Canberra Plaza,1.443245231683137,103.8305234561599
Capitol Singapore,1.292987753822214,103.8510468298429
Cathay Cineleisure Orchard,1.30152101873534,103.8364296550156
Causeway Point,1.436070065080311,103.7859815242531
Century Square,1.35236829566862,103.9438123022526
Changi City Point,1.334036379027078,103.9629176155306
Chinatown Point,1.284998828474023,103.8446970811421
City Square Mall,1.311421031076843,103.8566240199911
CityLink Mall,1.292777731289308,103.854173501417
CQ @ Clarke Quay,1.289962791215836,103.8450259751475
Claymore Connect,1.307668609402681,103.8281643963519
Clementi Mall,1.314896196393653,103.764423054189
Compass One,1.39205314156707,103.8950705438402
Concorde Shopping Mall,1.300614373842762,103.842228045431
Dawson Place,1.292791480577338,103.810891991078
Delfi Orchard,1.307178872984664,103.8284699943235
Depot Heights Shopping Centre,1.280966807297577,103.8102981896429
Djitsun Mall,1.326119703294682,103.9295544956149
Eastpoint Mall,1.342705923555769,103.9530246182335
Elias Mall,1.377905330954687,103.9423358206795
Esplanade Mall,1.28964784521264,103.8562672509768
Fajar Shopping Centre,1.383657946107356,103.7707213184331
Far East Plaza,1.307176980711882,103.833792932243
Forum The Shopping Mall,1.306097521645643,103.8286785560409
Funan,1.291347596977954,103.8499897900843
GV Yishun,1.429915542023897,103.8364733961239
Gek Poh Shopping Centre,1.348743571364091,103.6977320910003
Great World,1.293422726500028,103.8320221466545
Greenridge Shopping Centre,1.385269466555192,103.7658849729128
HDB Hub,1.332054851904816,103.8485076430788
Heartland Mall,1.359541773255625,103.8851673727259
Hillion Mall,1.37843100827587,103.7628427898765
Holland Piazza,1.310679760971657,103.7952609086236
Holland Road Shopping Centre,1.310277475741183,103.7953711631031
Holland Village,1.310213107939612,103.795010190754
Hougang 1,1.37571530699876,103.879472337592
Hougang Mall,1.372491186358026,103.8937740666245
IMM,1.334875261180072,103.7468947730077
ION Orchard,1.303979741445055,103.832032328465
Jem,1.333293344734624,103.743278742341
Jewel Changi Airport,1.360341006610217,103.9890775502096
Junction 10,1.38033681049385,103.7601678834385
Junction 8,1.350481253450499,103.848760473211
Junction Nine,1.433122839831811,103.8416609859896
Jurong Point,1.334844874712597,103.7204620242775
KINEX,1.314618498892422,103.8947380047679
Kallang Wave Mall,1.30307515150401,103.8731497075906
Katong Shopping Centre,1.304097311509515,103.9015159169702
Leisure Park Kallang,1.302301084052293,103.8764739758827
Limbang Shopping Centre,1.392440094321586,103.7434650238687
Lot One,1.385069923256194,103.7452388682375
Loyang Point,1.367000540763361,103.9646177762902
Lucky Plaza,1.304506046466357,103.8339623398165
Mandarin Gallery,1.302004717319636,103.8365839658053
Marina Bay Link Mall,1.280238254460868,103.8533696625463
Marina Square,1.291855332730248,103.8585780890598
Millenia Walk,1.292605444624933,103.8597249444427
Mustafa Centre,1.310112131903957,103.8552908739255
Ngee Ann City,1.30224168528687,103.8351819122968
Nex,1.350769352578452,103.8722961438613
Northpoint City,1.429698486262892,103.8357764914675
Northshore Plaza,1.416848147385155,103.9021398350904
Novena Square,1.319967484391867,103.8438506309923
Oasis Terraces,1.402864807401015,103.9133739137859
Orchard Central,1.300838908392453,103.8394347338989
Orchard Gateway,1.300443252795456,103.8394427800415
Orchard Plaza,1.30125729409966,103.8411501445833
Our Tampines Hub,1.35354740485205,103.9403811045466
PLQ Mall,1.317561159209999,103.8928366944319
Palais Renaissance,1.306654845431923,103.8295880451874
Parkway Parade,1.301069755063101,103.9052794915233
Pasir Ris West Plaza,1.379767524583477,103.9366463923326
Paya Lebar Square,1.318814870076511,103.8925807785135
Peninsula Plaza,1.292317422288004,103.8508031797687
Pioneer Mall,1.341955334161236,103.6974856283832
Plaza Singapura,1.300747709639166,103.8450475734307
Punggol Plaza,1.39423719717118,103.913047323223
Queensway Shopping Centre,1.287595189398704,103.8033972877883
Raffles City,1.293893578633135,103.8531199046559
Rivervale Mall,1.392197778384503,103.9044716000245
Rochester Mall,1.305407655699619,103.788446680148
Sembawang Shopping Centre,1.441824706757328,103.8248452072371
Sengkang Grand Mall,1.382981632033452,103.8927210077455
Shaw House,1.305809815805624,103.8315073656535
Shaw Centre,1.306113346556505,103.8319705818116
Sim Lim Square,1.303024260571796,103.8530378140664
SingPost Centre,1.318996669036639,103.8948949159614
Sun Plaza,1.44819535371132,103.8195021271551
Suntec City Mall,1.295931894771942,103.8590144067362
Sunshine Place,1.377684687719559,103.739352833189
Taman Jurong Shopping Centre,1.335124208785141,103.7203679776342
Tang Plaza,1.30502562565777,103.8329574782082
Tanglin Mall,1.304843441969151,103.8238527947718
Tampines 1,1.352227945045802,103.9524374430853
Tampines Mall,1.352527372785196,103.9446987510717
Tekka Place,1.304628719492547,103.8522269846324
The Cathay,1.2992060914543,103.8478268172409
The Centrepoint,1.30179455799388,103.8397182149645
The Paragon,1.303872308799947,103.8358575454689
The Rail Mall,1.35781103484491,103.7680806329584
The Seletar Mall,1.391470153746278,103.876125507257
The Shoppes at Marina Bay Sands,1.284234960270269,103.8589822826982
The Star Vista,1.306970440383233,103.7884202741146
The Woodleigh Mall,1.33873066388193,103.8716700081919
Thomson Plaza,1.354669024964243,103.830919782333
Tiong Bahru Plaza,1.286458894728254,103.8270152561934
United Square,1.317194509885588,103.8436114430376
Upper Serangoon Shopping Centre,1.353480822771468,103.878828134896
Valley Point,1.293017851201856,103.8269408051706
Vista Point,1.431002032937042,103.7937668011165
VivoCity,1.264293167839738,103.8223046936493
Waterway Point,1.406536116905548,103.9019881717096
West Coast Plaza,1.303624575279406,103.7658583869225
West Mall,1.350021075943163,103.7492164938305
Westgate,1.334157675568678,103.7427664844237
White Sands,1.365636109416956,103.9608618146777
Wheelock Place,1.304676287302523,103.8306420275763
Wisma Atria,1.303704774261485,103.8332057528079
Wisma Geylang Serai,1.316494157439073,103.8967884183523
Wisteria Mall,1.417952885015354,103.841268831617
Woodlands North Plaza,1.442509261327166,103.7906018262636
Yew Tee Point,1.39803970584674,103.747197720839
Yew Tee Square,1.398302378264612,103.7472825476393
myVillage @ Serangoon,1.365114905727978,103.8651595014412
