school_name,latitude,longitude
Admiralty Primary School,1.442634790331114,103.800040119743
Ahmad Ibrahim Primary School,1.433152715435181,103.8329424010853
Ai Tong School,1.360583433890406,103.8330203339857
Alexandra Primary School,1.291334391613348,103.8244246805311
Anchor Green Primary School,1.390369986546132,103.8871653759329
Anderson Primary School,1.384264294367363,103.8413920811184
Ang Mo Kio Primary School,1.369321765846087,103.839630858752
Anglo-Chinese School (Junior),1.309350412749673,103.840950265464
Anglo-Chinese School (Primary),1.31837054523522,103.8356097323541
Angsana Primary School,1.363605905883133,103.9389409003993
Beacon Primary School,1.383949362118238,103.7736320229752
Bedok Green Primary School,1.323445932879926,103.937878976352
Bendemeer Primary School,1.321812507804748,103.8654041676288
Blangah Rise Primary School,1.276120479240372,103.808628535239
Boon Lay Garden Primary School,1.343178537933179,103.7132808894514
Bukit Panjang Primary School,1.373621793024374,103.7693749040251
Bukit Timah Primary School,1.33774986225881,103.7668553447784
Bukit View Primary School,1.345860547886968,103.75366641455
Canberra Primary School,1.451250243715436,103.8158588589283
Canossa Catholic Primary School,1.326644245448396,103.8822279648518
Cantonment Primary School,1.275472526232034,103.8399626317482
Casuarina Primary School,1.372460639280005,103.9570202861143
Catholic High School (Primary),1.354388783736095,103.8442106707658
Cedar Primary School,1.335588501431211,103.8756210494394
Changkat Primary School,1.340231639516331,103.9520801140343
CHIJ (Katong) Primary,1.306485352770875,103.9111056204962
CHIJ (Kellock),1.275022722964019,103.8281575648959
CHIJ Our Lady of Good Counsel,1.357429522696155,103.8640093973725
CHIJ Our Lady of the Nativity,1.373302971401289,103.8975757283031
CHIJ Our Lady Queen of Peace,1.366460141363635,103.7687392567086
CHIJ Primary (Toa Payoh),1.332752647115879,103.8418472637856
CHIJ St. Nicholas Girls' School,1.373476878789176,103.8342532694353
Chongfu School,1.438395628970071,103.8393091738164
Chongzheng Primary School,1.350707392377436,103.951399541868
Chua Chu Kang Primary School,1.377758900933685,103.7418329174204
Clementi Primary School,1.315063218278743,103.7631444936865
Compassvale Primary School,1.394445296365664,103.8978122299046
Concord Primary School,1.380008061972414,103.7362254407264
Corporation Primary School,1.350997798725388,103.7075937243418
Damai Primary School,1.335461068004069,103.9212701696126
Dazhong Primary School,1.359179744727699,103.7484721078394
De La Salle School,1.394707829639912,103.7432018128304
East Spring Primary School,1.352684007463578,103.9616768491644
Edgefield Primary School,1.400091395109958,103.907847599114
Elias Park Primary School,1.375056963158182,103.9452894168725
Endeavour Primary School,1.454038374993021,103.8174362317305
Evergreen Primary School,1.444153328247356,103.7945777877569
Fairfield Methodist School (Primary),1.301004419167346,103.785455606827
Farrer Park Primary School,1.312368676813718,103.8507664029651
Fengshan Primary School,1.32980598760785,103.9317102930578
Fern Green Primary School,1.397269660504794,103.8803303056833
Fernvale Primary School,1.390302279637964,103.874445458032
First Toa Payoh Primary School,1.34032299499939,103.8555299061816
Frontier Primary School,1.336412987432344,103.6997017393095
Fuchun Primary School,1.430479908101254,103.7781929442981
Fuhua Primary School,1.336597264658171,103.7360894818831
Gan Eng Seng Primary School,1.285595164949621,103.8155474100632
Geylang Methodist School (Primary),1.317591267572844,103.883845744916
Gongshang Primary School,1.357116067902936,103.9491447972771
Greendale Primary School,1.39648195114255,103.9123346207095
Greenridge Primary School,1.385889219369218,103.7677944692579
Greenwood Primary School,1.439899583317834,103.8047255873839
Haig Girls' School,1.311943442713839,103.9029025571947
Henry Park Primary School,1.316676461783479,103.7842962277468
Holy Innocents' Primary School,1.366938308773486,103.8941148997942
Hong Wen School,1.321759999645534,103.8576284688807
Horizon Primary School,1.399550034492005,103.9134048556651
Hougang Primary School,1.377382452314626,103.8808052745566
Huamin Primary School,1.426972845129362,103.8442402265639
Innova Primary School,1.42896700684852,103.7906075391852
Jiemin Primary School,1.427688476652264,103.8304254900925
Jing Shan Primary School,1.372232909834984,103.852132214306
Junyuan Primary School,1.347870747667462,103.9392217090732
Jurong Primary School,1.348438596989479,103.7331565668572
Jurong West Primary School,1.33917519796104,103.6988037322437
Keming Primary School,1.345528499608757,103.7564493993506
Kheng Cheng School,1.337338193563907,103.8471485018234
Kong Hwa School,1.310996740091935,103.8883520290672
Kranji Primary School,1.393560504971042,103.7473627209389
Kuo Chuan Presbyterian Primary School,1.349782237509823,103.8545292878501
Lakeside Primary School,1.338203977042863,103.718089546664
Lianhua Primary School,1.354241911272948,103.7541658287112
Maha Bodhi School,1.328580238735551,103.9013069041567
Maris Stella High School,1.341394733236683,103.8778524844351
Marsiling Primary School,1.43383904037059,103.7736430138458
Marymount Convent School,1.340366769873745,103.8400210644257
Mayflower Primary School,1.376376835476832,103.8432528037418
Mee Toh School,1.394618453859209,103.9085894942275
Meridian Primary School,1.375528316584852,103.9348890785176
Methodist Girls' School (Primary),1.349472762683966,103.8849713431423
Montfort Junior School,1.373824440759788,103.889307782925
Nan Chiau Primary School,1.392211499065922,103.8911809281854
Nan Hua Primary School,1.319201599563877,103.7610950657604
Nanyang Primary School,1.320847499045325,103.8077501552959
Naval Base Primary School,1.416306631593873,103.8387940772327
New Town Primary School,1.299641881810217,103.8001021630402
Ngee Ann Primary School,1.305525059104983,103.9174630174967
North Spring Primary School,1.387061464948597,103.9032026830277
North View Primary School,1.427523271937279,103.8481907878688
North Vista Primary School,1.382822430162999,103.8959618779278
Northland Primary School,1.420969899189534,103.840928424929
Northoaks Primary School,1.45660782030104,103.814196981329
Northshore Primary School,1.418138033366677,103.9044169097418
Oasis Primary School,1.404624132007935,103.9111206006377
Opera Estate Primary School,1.319319144362567,103.923788259248
Palm View Primary School,1.383769230221237,103.891354675017
Park View Primary School,1.377380698542497,103.9395416956535
Pasir Ris Primary School,1.372418702455316,103.9628072121161
Paya Lebar Methodist Girls' School (Primary),1.349472762683966,103.8849713431423
Pei Chun Public School,1.33737358725953,103.8555855780611
Pei Hwa Presbyterian Primary School,1.338056346130476,103.7761064486133
Pei Tong Primary School,1.31619786415977,103.7675998188441
Peiying Primary School,1.417416275512517,103.8301432098749
Pioneer Primary School,1.354425929307369,103.7327909201966
Poi Ching School,1.35765122315688,103.9352464771987
Princess Elizabeth Primary School,1.349203512653009,103.7410196447094
Punggol Cove Primary School,1.411599232730683,103.8988039211635
Punggol Green Primary School,1.401872206432952,103.8988013303018
Punggol Primary School,1.378200625476397,103.8946671595121
Punggol View Primary School,1.405145826479627,103.9051563713755
Qifa Primary School,1.313265832680701,103.7566291018106
Qihua Primary School,1.442035965575938,103.7883397620653
Queenstown Primary School,1.295593650090142,103.8075486173318
Radin Mas Primary School,1.274958236226361,103.8241882703726
Raffles Girls' Primary School,1.329404260001214,103.806442915912
Red Swastika School,1.334056595808593,103.9343175284833
River Valley Primary School,1.294183478428372,103.8360189415711
Riverside Primary School,1.447004264937856,103.8018890313332
Rivervale Primary School,1.393409977677617,103.9045595119971
Rosyth School,1.372890674990646,103.8750015491733
Rulang Primary School,1.346738688890966,103.7184579554868
Sembawang Primary School,1.445046762056599,103.82102212387
Seng Kang Primary School,1.389497404224623,103.8997671120465
Sengkang Green Primary School,1.39284606680478,103.8752176664857
Shuqun Primary School,1.347653114316325,103.7215237133784
Si Ling Primary School,1.432409357325257,103.786035065192
Singapore Chinese Girls' Primary School,1.320807252359937,103.8277447495481
South View Primary School,1.381666643897507,103.7462758460104
Springdale Primary School,1.394670102992936,103.8899262212472
St Andrew's School (Junior),1.331402553088687,103.8651171343843
St. Anthony's Canossian Primary School,1.33472537301891,103.9412348682017
St. Anthony's Primary School,1.33472537301891,103.9412348682017
St. Gabriel's Primary School,1.349471926538616,103.8625610377067
St. Hilda's Primary School,1.349385650363364,103.9370071336614
St. Joseph's Institution Junior,1.317814761185532,103.8456333345214
St. Margaret's School (Primary),1.30390355715255,103.8459553156046
St. Stephen's School,1.318789972951361,103.9172581295975
Tampines North Primary School,1.360476414846836,103.9487257828322
Tampines Primary School,1.350486394669401,103.943573098509
Tanjong Katong Primary School,1.304984890448227,103.8999999654065
Tao Nan School,1.294332105249307,103.8490261578219
Teck Ghee Primary School,1.365587820759683,103.8509571269816
Teck Whye Primary School,1.383649968344577,103.7532918570159
Telok Kurau Primary School,1.331045854413487,103.9109340113368
Temasek Primary School,1.317706775513332,103.9455906691627
Townsville Primary School,1.36003263746623,103.8538260483272
Unity Primary School,1.402854818772471,103.746822625758
Valour Primary School,1.406835702153197,103.899078139493
Waterway Primary School,1.398828006265785,103.9186215815555
Wellington Primary School,1.451920191554766,103.8223037190938
West Grove Primary School,1.344879056001406,103.6992863605808
West Spring Primary School,1.389441458989443,103.7661957118344
West View Primary School,1.3836758200336,103.7602404343173
Westwood Primary School,1.347184566063761,103.7005342097801
