station_name,latitude,longitude
Jurong East (NS1),1.333027515439408,103.7423704876066
Bukit Batok (NS2),1.349033312016372,103.7495664783088
Bukit Gombak (NS3),1.358611590941928,103.7517909107326
Choa Chu Kang (NS4),1.385368469921474,103.7440849094921
Yew Tee (NS5),1.397535069362989,103.7474051502354
Kranji (NS7),1.425086980736478,103.762137459497
Marsiling (NS8),1.432521148550268,103.7740746414026
Woodlands (NS9),1.436819629615197,103.7860667992523
Admiralty (NS10),1.440588561618472,103.800990519771
Sembawang (NS11),1.449050821585015,103.8200461402103
Canberra (NS12),1.443076640756983,103.8297025909592
Yishun (NS13),1.42944308477332,103.8350050472459
Khatib (NS14),1.417383370095667,103.8329799082429
Yio Chu Kang (NS15),1.381755870991314,103.8449472711801
Ang Mo Kio (NS16),1.36993284962264,103.8495580917754
Bishan (NS17),1.35101889777846,103.8500572086081
Braddell (NS18),1.34010520696436,103.8467559210476
Toa Payoh (NS19),1.332629280968894,103.8475021980474
Novena (NS20),1.320440791201562,103.8438256187479
Newton (NS21),1.312570317306047,103.8380315552143
Orchard (NS22),1.302422248367229,103.8238685232488
Somerset (NS23),1.300252877105424,103.8391583368474
Dhoby Ghaut (NS24),1.298911643626761,103.8462925069598
City Hall (NS25),1.292989907009234,103.8525426303387
Raffles Place (NS26),1.283933262345381,103.8514630662122
Marina Bay (NS27),1.276311143815851,103.8546049753605
Marina South Pier (NS28),1.271027036120066,103.8624475157361
Pasir Ris (EW1),1.367129282876153,103.9605573184165
Tampines (EW2),1.356191482715451,103.9546344624998
Simei (EW3),1.343197078518295,103.9533772143779
Tanah Merah (EW4),1.327187290746738,103.9463486007975
Bedok (EW5),1.323979968681596,103.9299844950654
Kembangan (EW6),1.321038133593401,103.9129479308509
Eunos (EW7),1.319783549160883,103.9032258072548
Paya Lebar (EW8),1.317247385403492,103.8922607538836
Aljunied (EW9),1.316432611815716,103.8829060443844
Kallang (EW10),1.311488909988205,103.8713865417532
Lavender (EW11),1.307391878931378,103.862784610013
Bugis (EW12),1.30046508537091,103.8557067312047
Tanjong Pagar (EW15),1.276561317372466,103.8457251867589
Outram Park (EW16),1.280241532808404,103.8400521001357
Tiong Bahru (EW17),1.286194578905436,103.8269989397321
Redhill (EW18),1.289634534128879,103.8167409720498
Queenstown (EW19),1.294550851849307,103.8060771559821
Commonwealth (EW20),1.302501999243251,103.7982285233357
Buona Vista (EW21),1.306275348232579,103.7903632001254
Dover (EW22),1.311405293209642,103.7786378419088
Clementi (EW23),1.315116252773782,103.7651914528873
Chinese Garden (EW25),1.342352820814013,103.7325967383628
Lakeside (EW26),1.344259114938191,103.7209490874561
Boon Lay (EW27),1.33860405469845,103.7060646227716
Pioneer (EW28),1.337587011067095,103.6973216084733
Joo Koon (EW29),1.327717040844709,103.6783749961644
Gul Circle (EW30),1.319470900752091,103.6605304613452
Tuas Crescent (EW31),1.321026955986843,103.6490782356262
Tuas West Road (EW32),1.329985046531018,103.6396166487711
Tuas Link (EW33),1.340882424511064,103.6369914251273
Expo (CG1),1.334549778248175,103.9615482110178
Changi Airport (CG2),1.357478974476929,103.9878835695896
HarbourFront (NE1),1.265311398584666,103.8205573166953
Chinatown (NE3),1.283964051875304,103.8431419453903
Clarke Quay (NE4),1.287452114158039,103.8461191927268
Little India (NE6),1.307243816084376,103.8498416141234
Farrer Park (NE7),1.313140299631643,103.8547547213434
Boon Keng (NE8),1.319939576532913,103.8620526984453
Potong Pasir (NE9),1.331378085287931,103.8693635477404
Woodleigh (NE10),1.339828245921835,103.8709608879794
